gene,ref_rank,screen_direction,therapeutic_action,confidence,layers_concordant,agrees_with_screen,mechanistic_rationale,primary_inconsistency,repurposing_note
METTL15,111,driver_antagonize,antagonize,low,1,yes,"Screen shows robust driver signal (z=-4.79, FDR=0) but genetics show only skeletal (not autoimmune) association (score 0.32, autoimmune score 0.0), no LoF constraint, undefined protein class, and zero existing drugs.","Strong causal knockdown-driver signal is not supported by autoimmune genetics (OT_autoimmune_score=0.0) and protein class is missing (NaN), undermining confidence this is a coherent, disease-relevant druggable node.","novel - no existing drug (n_existing_drugs=0, max_drug_stage=null); would require de novo small-molecule discovery against a mitochondrial rRNA methyltransferase-like target with unclear tractability data."
FUT8,112,brake_agonize,agonize,low,1,yes,"Screen shows robust brake signal (z=5.2, FDR=0) supporting agonism, but genetics is non-autoimmune (score 0.0), no existing drugs, and protein class unknown, undermining a coherent hypothesis.","Strong causal screen direction is not backed by autoimmune genetics (OT_autoimmune_score=0.0; top disease is a congenital glycosylation disorder, not inflammatory), and protein class is missing despite claimed small-molecule tractability.","novel - no existing drug; FUT8 (core fucosyltransferase) has no approved small-molecule inhibitors/agonists, though FUT8 inhibition is explored in oncology (afucosylated antibody engineering), not as a direct pharmacologic agonist strategy for autoimmunity."
PRKCSH,133,driver_antagonize,antagonize,low,1,yes,"Screen shows significant driver signal (z=-4.09, FDR=0.002) but genetics is non-autoimmune (score 0.0, top hit is polycystic liver disease), and PRKCSH is an ER glucosidase II subunit, not a plausible surface antibody target despite the annotation.","Suggested modality 'antibody/biologic (surface)' is mechanistically implausible for PRKCSH, an ER-luminal glucosidase II beta subunit with no known surface expression, and there is zero autoimmune genetic association despite the screen hit.",novel - no existing drug
STIM2,134,driver_antagonize,,low,1,no,"Screen shows significant driver signal (z=-4.0, FDR=0.002) supporting antagonism, but genetics is weak/off-target (top score for varicose veins, autoimmune score only 0.27) and druggability is uncertain (protein class NaN, antibody-tractable but STIM2 is an ER-resident Ca2+ sensor, not typically surface-accessible).","STIM2 is a known ER transmembrane calcium-sensing protein, not a plasma-membrane surface receptor, so the suggested antibody/biologic modality is mechanistically implausible despite the 'ab_tractable' tag; genetics also lacks strong autoimmune-specific support.","novel - no existing drug; small-molecule SOCE/STIM-ORAI pathway modulators (e.g., ORAI1 inhibitors) could be explored as an indirect pathway-based repurposing avenue rather than direct antibody targeting."
CAVIN1,136,driver_antagonize,antagonize,low,1,yes,"Screen shows strong significant driver signal (z=-4.58, FDR=0.001) but genetics only ties CAVIN1 to lipodystrophy (0.73) not autoimmunity (0.12), and druggability is a mismatch since CAVIN1 is a cytoplasmic caveolar scaffold protein, not a surface antigen suited to antibody/biologic targeting.","Suggested modality is antibody/biologic 'surface' tractable, but CAVIN1 (Cavin-1/PTRF) is an intracellular caveolae-associated scaffolding protein, making antibody accessibility biologically implausible; also autoimmune genetic association is weak (0.12) despite strong screen effect.","novel - no existing drug; would require intracellular-targeting modality (e.g., small molecule or degrader) rather than the suggested antibody/biologic approach"
PRELID1,148,driver_antagonize,antagonize,low,1,yes,"Screen shows robust driver signal (signed_z -4.28, FDR 0.002) but Open Targets autoimmune score is only 0.15 (top hit is neurodegenerative disease, 0.54), and gene is not LoF-constrained, undermining a coherent autoimmune genetics case.","Strong causal knockdown-driver signal in the T-cell screen is not supported by autoimmune-disease genetics (score 0.15); top genetic association is for an unrelated neurodegenerative indication, and protein class is undefined despite claimed small-molecule tractability.","novel - no existing drug (n_existing_drugs=0, novelty_class novel_undrugged); no known chemical starting point despite nominal small-molecule tractability."
MSH2,157,brake_agonize,agonize,low,1,yes,"Screen shows knockdown raises the inflammatory program (z=3.68, FDR=0.014) suggesting a brake, but genetics links MSH2 only to Lynch syndrome (score 0.89) with null/zero autoimmune association, undermining disease relevance.","Strong DNA-mismatch-repair disease genetics (Lynch syndrome) has no autoimmune association, and MSH2 is a core tumor-suppressor/genome-stability gene, so agonizing it for inflammation is mechanistically dubious and carries oncogenic-risk-modulation concerns.","novel - no existing drug (0 existing drugs, novel_undrugged class); MSH2 is not a validated small-molecule target and is primarily studied in DNA repair/cancer context, not immunology."
RPGRIP1L,163,driver_antagonize,,low,1,no,"Screen shows significant driver-like knockdown effect (z=-3.71, FDR=0.008) but genetics implicates only Joubert syndrome (ciliopathy) with zero autoimmune association, and RPGRIP1L is a ciliary scaffold protein, not a plausible surface antibody target.","Strong screen signal is unsupported by autoimmune genetics (OT_autoimmune_score=0.0) and conflicts with known biology (ciliary basal-body protein, not a surface receptor), casting doubt on the ab/biologic modality suggestion.",novel - no existing drug; suggested antibody modality is mechanistically implausible for an intracellular ciliary scaffold protein
NEURL1,180,brake_agonize,agonize,low,1,yes,"Screen shows significant brake signal (signed_z 3.72, FDR 0.005) but genetics has no autoimmune association (score 0.0) and only moderate atrial fibrillation link, undermining disease relevance despite ab-tractability.","Strong, significant knockdown-brake screen effect is not supported by any autoimmune genetic association (OT_autoimmune_score=0.0), and top disease hit (atrial fibrillation) is unrelated to inflammation.","novel - no existing drug (n_existing_drugs=0, undrugged target; would require de novo agonist biologic)"
PPCDC,183,brake_agonize,agonize,low,1,yes,"Screen shows knockdown raises pro-inflammatory program (brake, FDR 0.015), but genetics are weak/off-target (autoimmune score 0.16, top hit is neurodegenerative, not LoF constrained) and no known ligand exists.","Strong screen signal for agonism is not supported by population genetics, which shows only a moderate association with a neurodegenerative (not autoimmune) phenotype and a low autoimmune-specific score (0.16); protein class is unspecified (NaN) despite claimed small-molecule tractability.",novel - no existing drug (PPCDC is a phosphopantothenoylcysteine decarboxylase in the CoA biosynthesis pathway; no chemical probes or approved agonists reported)
TAF11,189,brake_agonize,agonize,low,1,yes,"Screen shows knockdown raises the pro-inflammatory program (signed z=3.38, FDR=0.012), implying TAF11 is a brake, but genetics for autoimmune disease is weak (score 0.16, top hit is HIV not autoimmune) and TAF11 is a general TFIID subunit lacking a defined druggable protein class.",Strong screen signal is not corroborated by autoimmune genetics (OT_autoimmune_score only 0.16) and TAF11 as a core transcription factor subunit is a poor/undefined small-molecule target (protein_class NaN) despite being flagged 'sm_tractable'.,"novel - no existing drug; TAF11 is a TFIID core subunit with no established small-molecule chemotypes, so any agonist strategy would be essentially de novo."
PLEK,192,brake_agonize,agonize,low,1,yes,"Screen shows knockdown raises the inflammatory program (signed z=3.69, FDR 0.013) implying PLEK is a brake, but autoimmune genetics are weak (MS score 0.30, top hit is venous thromboembolism) and modality (antibody, intracellular pleckstrin) is mismatched with agonism.","PLEK is a cytosolic pleckstrin-homology adaptor protein, not a surface receptor, so the suggested antibody/biologic modality is poorly suited to agonizing an intracellular signaling scaffold, and disease genetics for autoimmunity are only moderate/weak while the top genetic association (VTE) is unrelated to inflammation.","novel - no existing drug; no approved PLEK-targeted agents and intracellular localization limits antibody feasibility, would likely require a small-molecule or PROTAC approach instead."
RAB28,200,brake_agonize,agonize,low,1,yes,"Screen shows brake-like effect (signed z 3.47, FDR 0.023) but genetics scores are null/zero for autoimmune disease, top OT hit is cone-rod dystrophy (unrelated), and protein class is undefined despite claimed small-molecule tractability.","Strong screen signal is unsupported by autoimmune genetics (OT_autoimmune_score=0.0) and druggability layer lacks a defined protein class, undermining a coherent agonist hypothesis.","novel - no existing drug (n_existing_drugs=0, novelty_class novel_undrugged)"
STAT3,3,driver_antagonize,antagonize,medium,4,yes,"Knockdown lowers the pro-inflammatory program (z=-3.98, FDR=0.002) consistent with driver status, backed by strong autoimmune genetics (score 0.78, LoF constrained) and clinical-precedent TF druggability with an existing phase 2 agent.","Top disease association is hyper-IgE syndrome (a monogenic PID from germline LoF), not a common autoimmune trait, so the genetics signal may reflect a different biology than the acute inflammatory program captured in the screen; also STAT3 is a broadly pleiotropic TF with on-target toxicity risk (immune deficiency, malignancy surveillance) despite context_specificity of only 0.38.","STAT3 small-molecule/antisense inhibitors already in clinical development (e.g., napabucasin, TTI-101, danvatirsen) could be repositioned for autoimmune/inflammatory indications pending selectivity and safety assessment."
STAT5B,15,driver_antagonize,,medium,4,no,"Robust knockdown (z=-4.52, FDR=0.001) lowers the pro-inflammatory program, consistent with strong genetic association (0.81) and LoF constraint, and STAT5B is an sm_tractable TF with no existing drugs, supporting antagonism.","Top disease association is a rare monogenic immune dysregulation/growth hormone insensitivity syndrome rather than a common autoimmune indication, so genetics may reflect a distinct biology (STAT5B loss-of-function causing immune dysregulation) rather than direct support for pharmacologic inhibition in polygenic autoimmune disease; also TF antagonism is historically hard to drug despite 'sm_tractable' label.","novel - no existing drug; could build on JAK/STAT pathway inhibitor chemistry (e.g., JAK1/2 inhibitors like ruxolitinib act upstream) but no direct STAT5B-selective small molecule exists."
CTSH,31,driver_antagonize,antagonize,medium,4,yes,"Strong, significant knockdown-driven reduction of the pro-inflammatory program (z=-4.15, FDR=0.001) aligns with T1D genetic association (OT score 0.55) and enzyme tractability (sm_tractable), supporting antagonism of CTSH as a novel undrugged target.","Genetic association score (0.55) is moderate rather than definitive, and gene is not LoF-constrained, so loss-of-function tolerance/genetic support is not as strong as 'strong tier' label implies.","novel - no existing drug; cathepsin H is a cysteine protease, so structural analogs of other cathepsin inhibitors (e.g., odanacatib-like cathepsin K inhibitors) could inform small-molecule design."
SLC15A4,46,brake_agonize,agonize,medium,4,yes,"Knockdown raises the inflammatory program (signed z=3.85, FDR=0.004, high context-specificity) marking SLC15A4 as a brake; strong SLE genetics (OT=0.51) and sm_tractable transporter status support an agonist strategy, with no existing drugs.","SLC15A4 is best known as a driver of TLR7/9 endosomal signaling and NF-kB/IRF activation in lupus models, so a knockdown-raises-inflammation 'brake' call is biologically counterintuitive and warrants mechanistic validation before pursuing agonism.","novel - no existing drug; SLC15A4 small-molecule antagonists (e.g., VB-201/related PepT-family inhibitor programs explored for lupus) exist in early discovery but targeted antagonism, not agonism, suggesting a direction conflict to resolve."
ST8SIA4,140,driver_antagonize,antagonize,medium,4,yes,"Knockdown lowers the pro-inflammatory program (z=-3.29, FDR=0.032) marking ST8SIA4 a driver; SLE genetic association (0.41) and surface antibody-tractable modality support antagonism, though not LoF-constrained.","Genetics score (0.41) is only moderate for a 'strong' tier claim and gene is not LoF-constrained, so causal human-genetic support is softer than the screen signal suggests.","novel - no existing drug; ST8SIA4 (a polysialyltransferase) is undrugged, would require de novo antibody/biologic development against this surface glycosyltransferase target."
IL2RA,2,driver_antagonize,antagonize,medium,3,yes,"Strong significant knockdown-lowers-program signal (z=-5.52, FDR=0) plus clinical-precedent druggable surface receptor with 7 approved/advanced antagonist biologics support antagonizing IL2RA.","Top disease association is CD25 deficiency (immunodeficiency, a LOF phenotype), not a canonical autoimmune gain-of-function indication, so genetics support antagonism only indirectly and is not LoF-constrained-verified.","Repurpose existing IL2RA-targeting antibodies (e.g., basiliximab/daclizumab-class anti-CD25 biologics, already at max clinical stage 4) for autoimmune indications."
STAT6,11,brake_agonize,agonize,medium,3,yes,"Knockdown raises the pro-inflammatory program (signed_z 4.71, FDR 0.001) indicating STAT6 is a brake; strong genetics (0.73) and sm_tractable TF status support agonism, though no existing STAT6 agonist chemotype exists.","Top disease association is hyper-IgE syndrome (a primary immunodeficiency, not classic autoimmunity) and STAT6 is a TF, a historically hard-to-agonize class with small molecules despite sm_tractable label.","novel - no existing drug; STAT6 antagonists (dupilumab acts upstream via IL-4Rα) are in development for allergic disease, but a direct small-molecule STAT6 agonist would be novel and mechanistically distinct."
PTPN2,13,brake_agonize,agonize,medium,3,yes,"Knockdown strongly raises the pro-inflammatory program (signed z=5.04, FDR=0) marking PTPN2 a brake, consistent with known PTPN2 phosphatase suppression of TCR/cytokine signaling; RA genetics (0.48) and sm_tractable druggability support an agonist/enhancer strategy.","PTPN2 is a phosphatase whose activity is typically lost-of-function in disease (loss raises inflammation), so 'agonism' is mechanistically awkward for small molecules—stabilizers/activators are unconventional; also LoF_constrained=false and protein_class missing weaken confidence in a clean small-molecule activator strategy.","novel - no existing drug (n_existing_drugs=0); PTPN2 has been explored as a target for allosteric small-molecule activators (e.g., in oncology/immunology research, though none approved) - could build on early-stage PTPN2 activator chemical probes."
SIK2,19,brake_agonize,,medium,3,no,"Knockdown raises the pro-inflammatory program (signed_z=4.67, FDR=0.001) marking SIK2 as a brake, aligning with kinase druggability and asthma genetics (score 0.44) to support agonism/activation as a novel undrugged target.","Therapeutic direction implies SIK2 activation, but kinases are typically drugged as inhibitors (antagonists) — agonizing a kinase pharmacologically is mechanistically harder than inhibiting it, so 'druggable' tractability may not map cleanly onto the needed agonist mechanism; also genetics score (0.44) is only moderate despite being labeled 'strong' tier.","novel - no existing drug; existing SIK1/2/3 inhibitors (e.g., ARN-3236, HG-9-91-01) exist for the opposite (antagonist) direction, so an activator would require de novo discovery rather than repurposing."
TBX21,20,driver_antagonize,antagonize,medium,3,yes,"Strong, significant driver signal (z=-7.44, FDR=0) plus LoF-constrained genetics support antagonizing TBX21, but it is a hard-to-drug TF (no PPI/degrader precedent) with modest autoimmune-specific OT score (0.44).","Druggability layer contradicts the otherwise coherent causal/genetic case: TBX21 is a difficult TF with no existing drugs, so the directional hypothesis lacks a feasible modality.","novel - no existing drug; would require emerging TF-targeting modalities (molecular glue/degrader or PPI disruptor) analogous to efforts against other master-regulator TFs (e.g., STAT/RORC degrader programs)"
STAT1,23,driver_antagonize,antagonize,medium,3,yes,"Strong significant driver signal (z=-4.16, FDR=0.001) at Stim8hr aligns with genetic constraint and disease association (score 0.81), supporting antagonism, though tractability for TF is uncertain.","STAT1 is a transcription factor labeled sm_tractable but with no existing drugs (novel_undrugged) and low context_specificity (0.18), raising concern about achievable small-molecule antagonism and on-target selectivity; also top disease association is a rare primary immunodeficiency (CMC) rather than a common autoimmune indication, and STAT1 loss-of-function causes susceptibility to infection, so systemic antagonism carries safety risk.","JAK inhibitors (e.g., ruxolitinib, tofacitinib) act upstream of STAT1 phosphorylation and could be considered as an indirect repurposing route rather than direct STAT1 small-molecule inhibition, which remains novel/undrugged."
IL21R,27,driver_antagonize,antagonize,medium,3,yes,"Knockdown significantly lowers the pro-inflammatory program (z=-4.12, FDR=0.004) marking IL21R a driver, it is a surface catalytic receptor with existing antibody tractability, and no drugs yet exist to exploit this.","OT top/autoimmune disease association (0.74) is actually an infectious/immunodeficiency phenotype (cryptosporidiosis-cholangitis), not a classic autoimmune indication, so genetics support for autoimmune repurposing is indirect.","IL21R is targeted by clinical-stage anti-IL21R biologics (e.g., ATR-107/PF-05230900) developed for lupus/RA; could repurpose or reference that antagonist class despite dossier showing zero existing drugs."
CTH,30,brake_agonize,agonize,medium,3,yes,"CTH knockdown strongly raised the pro-inflammatory program (z=6.79, FDR=0), marking it a brake; it is small-molecule tractable, but genetics tie it mainly to cystathioninuria (0.72) not autoimmunity (AS score only 0.29), and no LoF constraint.","Top population-genetics signal is for a metabolic disease (cystathioninuria), not the autoimmune indication, so disease-relevance of agonizing CTH for inflammation is weakly supported despite the clean screen hit.","CTH (cystathionine gamma-lyase) is the H2S-producing enzyme targeted by NaHS/GYY4137 and other H2S-donor compounds explored for anti-inflammatory effects; an agonist/activator or H2S-donor strategy could build on this mechanism, though no approved drug exists."
BATF,39,driver_antagonize,antagonize,medium,3,yes,"Knockdown strongly and significantly (z=-4.54, FDR=0.001) lowers the pro-inflammatory program at peak stim, consistent with MS genetic association (score 0.35), but BATF is an undruggable TF with no existing drugs.","Strong causal driver signal and moderate genetics are undercut by poor druggability (TF, no small-molecule/degrader precedent) and lack of LoF constraint, limiting near-term therapeutic feasibility.","novel - no existing drug; would require emerging TF-targeting modalities (e.g., PROTAC/molecular glue degrader or PPI disruptor of BATF-JUN/IRF4 complex) rather than repurposing an approved agent"
MFSD6,42,driver_antagonize,antagonize,medium,3,yes,"Strong significant driver signal (z=-4.26, FDR=0.002) at Stim48hr aligns with ab-tractable surface modality and SLE genetic association (0.38), supporting antagonism as a novel undrugged target.","Top OT disease association is neurodegenerative disease (0.41), not the autoimmune indication (SLE, 0.38), and protein class is undefined (NaN), weakening confidence in mechanism/tractability alignment.","novel - no existing drug (0 drugs, undrugged); would require de novo antibody/biologic development against this surface target."
NEK6,45,driver_antagonize,,medium,3,no,"Strong significant driver signal (z=-4.09, FDR=0.002) plus kinase tractability support antagonism, but top genetics hit is skeletal (0.47) not autoimmune, with only moderate asthma linkage (0.43) and no LoF constraint.","Population genetics top association is skeletal abnormality, not autoimmune disease; autoimmune (asthma) score is only moderate (0.43) and gene is not LoF-constrained, weakening genetic support for an autoimmune indication.",novel - no existing drug (NEK-family kinase inhibitors are precedented as a class but none developed for NEK6 specifically)
DAGLB,51,driver_antagonize,antagonize,medium,3,yes,"Robust driver signal (z=-4.36, FDR=0.002) plus enzyme/small-molecule tractability support antagonism, but top genetic association is osteogenesis imperfecta (0.49) not autoimmune disease (UC only 0.38), weakening genetics coherence.","Strongest population-genetics signal is for a bone disorder (osteogenesis imperfecta) rather than the autoimmune indication, and LoF is not constrained, so disease-genetics support for an inflammatory hypothesis is only moderate.","novel - no existing drug; DAGLB is a diacylglycerol lipase, mechanistically related to endocannabinoid pathway enzymes (cf. investigational DAGL inhibitors) but no approved agents exist for this target."
STIM1,53,driver_antagonize,antagonize,medium,3,yes,"Knockdown significantly lowers the pro-inflammatory program (z=-3.68, FDR=0.009) supporting driver/antagonize, and STIM1 is LoF-constrained, small-molecule tractable, and clinically unaddressed (0 existing drugs).","Strong OT genetics is driven mainly by monogenic tubular aggregate myopathy and combined immunodeficiency (loss-of-function disease), not a common autoimmune GWAS signal, so antagonizing STIM1 (mimicking LoF) risks recapitulating immunodeficiency rather than treating autoimmunity.","STIM1/ORAI1 CRAC channel inhibitors (e.g., CRAC channel blockers like CM4620/Auxora) exist in development and could be leveraged, though none are approved yet."
ADAM19,57,brake_agonize,agonize,medium,3,yes,"Knockdown strongly raises the pro-inflammatory program (signed_z 5.64, FDR 0, good KD efficacy) marking ADAM19 a brake, and it is enzyme/ab_tractable/druggable, though genetics link most strongly to CAD (0.42) not autoimmunity (asthma 0.41).","Top population-genetics association is coronary artery disease, not an autoimmune/inflammatory indication, and the autoimmune (asthma) score is only modestly supportive with unclear directionality relative to agonism.","novel - no existing drug; ADAM19 is a metalloprotease (ADAM family), so repurposing could draw on broad-spectrum or selective ADAM/metalloprotease inhibitor chemotypes as a starting scaffold, though an agonist strategy for a protease is mechanistically unconventional and would likely require an activity-enhancing small molecule or alternative modality."
FADS1,66,driver_antagonize,,medium,3,no,"Robust driver signal (z=-3.78, FDR=0.004) with LoF constraint and sm_tractable druggability support antagonism, but top genetic association is neurodegenerative disease not autoimmune (asthma score only 0.36).","Strongest population-genetics signal is for neurodegenerative disease, not the autoimmune/inflammatory indication being targeted, weakening the disease-relevance link despite a clean screen phenotype.","novel - no existing drug; FADS1 (fatty acid desaturase, PUFA metabolism) is undrugged but small-molecule tractable, could build on lipid-pathway inhibitor chemotypes."
BRD1,70,driver_antagonize,antagonize,medium,3,yes,"Strong, significant knockdown-lowers-inflammation signal (z=-4.46, FDR=0.001) plus LoF constraint and small-molecule tractability support antagonizing this enzyme, though disease genetics are only moderate (AS score 0.15).","Population genetics support is weak-moderate (top autoimmune score only 0.15, top disease is synovium disorder not a classic autoimmune indication) despite a strong causal screen signal.","novel - no existing drug; BRD1 is a BRD/PHD-finger scaffold protein of MOZ/MORF HAT complexes, so bromodomain-inhibitor chemotypes (e.g., BET/BRD-family inhibitor scaffolds) could be repurposed as starting points."
TNFRSF1B,78,brake_agonize,agonize,medium,3,yes,"Knockdown raises the pro-inflammatory program (signed_z 4.44, FDR 0.001, strong knockdown efficacy) marking TNFRSF1B as a brake, and it's a surface receptor with antibody tractability suitable for agonist biologics.","Population genetics is strongest for hypothyroidism (0.41) not autoimmune inflammatory disease, and the autoimmune association (childhood asthma, 0.21) is weak, so disease-genetics support for an inflammatory indication is limited.","TNFRSF1B (TNFR2) agonism is an active class of interest (e.g., TNFR2 agonist biologics in preclinical/early development for Treg expansion in autoimmunity); no approved drugs yet - novel_undrugged per dossier."
PRKX,85,driver_antagonize,,medium,3,no,"Strong, significant knockdown-lowers-inflammation signal (z=-4.39, FDR=0.001) plus tractable kinase (PKA catalytic subunit, X-linked) support antagonism, but genetics is dominated by neurodegenerative disease (0.49) with only modest autoimmune score (0.33) and no LoF constraint.","Top Open Targets disease association is neurodegenerative disease, not autoimmune/inflammatory, weakening the genetics-screen concordance for this indication.","novel - no existing drug; could leverage existing PKA-family kinase inhibitor chemotypes (e.g., ATP-competitive small molecules) as a starting scaffold since PRKX is a PKA catalytic subunit paralog"
IRAK3,91,brake_agonize,,medium,3,no,"Knockdown of IRAK3 (pseudokinase brake on TLR/IL-1R signaling) raises the pro-inflammatory program (signed z=5.29, FDR=0, high context-specificity 0.89), implying agonism/stabilization would suppress inflammation, and it is a tractable kinase-class target with no existing drugs.","Population genetics is only moderate (OT autoimmune score 0.28, not LoF-constrained), so causal screen signal is not strongly corroborated by human disease genetics.","novel - no existing drug; IRAK3/IRAK-M is a pseudokinase, so classic ATP-competitive small-molecule agonism is mechanistically unusual and would likely require an allosteric stabilizer or protein-stability/degrader-inverse (stabilizing) approach rather than repurposing known IRAK4 inhibitors."
CBLB,100,brake_agonize,agonize,medium,3,yes,"CBLB knockdown raises the pro-inflammatory program (signed_z=3.26, FDR=0.016) marking it a brake, consistent with strong autoimmune genetics (MS score 0.4, LoF-constrained) and small-molecule tractability, but agonizing an E3-ligase-type negative regulator is mechanistically hard and undrugged.","Protein class is missing (NaN) despite being flagged sm_tractable, and there are zero existing drugs/clinical precedent, so druggability of an activator-type mechanism (agonism) for this modality is unverified.","novel - no existing drug; CBLB is a known immune checkpoint E3 ubiquitin ligase, analogous in concept to CBLB-targeted small-molecule inhibitors explored in oncology (immune activation), but here the desired direction (agonize/stabilize CBLB activity) is the opposite of oncology approaches and remains mechanistically novel for autoimmunity."
LITAF,105,driver_antagonize,,medium,3,no,"Robust knockdown (efficacy -31, FDR 0.01) lowers the pro-inflammatory program (z=-3.46), classifying LITAF as a driver, and it has ab-tractable structure plus IBD genetic support (0.42), favoring antagonism.","Top OT disease association is Charcot-Marie-Tooth (0.77, a neuropathy, not autoimmune) while the autoimmune/IBD score is only moderate (0.42), and suggested modality (surface antibody/biologic) is inconsistent with LITAF being an intracellular/lysosomal membrane protein, raising tractability doubts.","novel - no existing drug (n_existing_drugs=0, max_drug_stage null); would require de novo biologic or intracellular-targeting modality given LITAF's endosomal localization."
POLI,106,driver_antagonize,,medium,3,no,"Knockdown significantly lowers the pro-inflammatory program (z=-3.42, FDR=0.017, high context-specificity 0.86), consistent with driver/antagonize, and asthma genetics (score 0.45) plus sm_tractable status support a small-molecule inhibitor hypothesis.","Genetics is only moderate (score 0.45, not LoF-constrained) and protein_class is missing (NaN), so structural rationale for a translesion polymerase as a tractable small-molecule target is unconfirmed; low integrated rank (106) also suggests weaker overall support than top hits.",novel - no existing drug (POLI is an undrugged translesion DNA polymerase; no approved or investigational inhibitors identified)
DEF6,114,driver_antagonize,,medium,3,no,"Knockdown significantly lowers the pro-inflammatory program (z=-3.55, FDR=0.013) and strong OT genetics (0.69) directly implicate immunodeficiency-87/autoimmunity, supporting antagonism, though druggability is questionable.","DEF6 is a cytoplasmic guanine-nucleotide exchange factor (intracellular signaling adaptor), not a surface protein, so the layer3 'antibody/biologic (surface)' modality call is mechanistically implausible and protein_class is missing (NaN), undermining the ab_tractable/druggable flag.",novel - no existing drug; intracellular GEF target would likely require a small-molecule PPI inhibitor or degrader approach rather than the suggested antibody modality
FKBP5,135,brake_agonize,agonize,medium,3,yes,"Knockdown raises the pro-inflammatory program (signed z=3.56, FDR=0.013) marking FKBP5 a brake; small-molecule tractability supports agonism, though genetics is modest (autoimmune score 0.27) and unconstrained.","Genetics tier is labeled 'strong' but the top disease association is hypothyroidism (0.39), not the autoimmune indication (UC=0.27), and FKBP5 agonists are essentially unprecedented, so the mechanism-to-modality path is unproven.","FKBP5 is a known target of antagonists (e.g., SAFit2, selective FKBP5 ligands studied in psychiatric/stress contexts) but no agonist tool compounds exist, so agonism would be a novel modality direction rather than a repurposing opportunity."
CD69,141,driver_antagonize,,medium,3,no,"Knockdown lowers the pro-inflammatory program (z=-3.42, FDR=0.025) supporting driver/antagonize, and Hashimoto genetics (score 0.4) plus sm_tractable status align, but protein_class is missing and no LoF constraint data.","Genetics score is only moderate (0.4, tier labeled 'strong' but numerically modest) and CD69 is a C-type lectin receptor typically considered a marker/adhesion molecule rather than a classic small-molecule target, so 'sm_tractable' small-molecule modality is questionable despite the druggability flag; protein_class is NaN, undermining confidence in the structural assessment.","novel - no existing drug (n_existing_drugs=0, max_drug_stage=null); CD69 has no approved ligand-targeting agents, though anti-CD69 antibodies have been explored preclinically for autoimmune/allergic disease as an alternative modality to the suggested small molecule."
GPR55,164,driver_antagonize,antagonize,medium,3,yes,"Knockdown significantly lowers the pro-inflammatory program (z=-3.5, FDR=0.009) marking GPR55 a driver, and it is a tractable GPCR with no existing drugs, but genetic support for autoimmune disease is modest (score 0.26) and top hit (preeclampsia) is off-indication.","Strong causal screen signal is only weakly matched by population genetics: autoimmune association score (0.26) is modest and top disease association (preeclampsia, 0.28) is not autoimmune, so genetics does not strongly corroborate the inflammatory-driver hypothesis for this indication.","novel - no existing drug; GPR55 antagonists (e.g., CID16020046, ML193) have been explored preclinically as tool compounds and could be repurposed/optimized for immune indications."
